"rules","support","confidence","coverage","lift","count"
"{milk,sausage} => {tropical fruit}",0.27,0.82,0.33,1.2,27
"{milk,water} => {pastry}",0.28,0.82,0.34,1.31,28
"{milk,pastry,sausage} => {tropical fruit}",0.2,0.8,0.25,1.18,20
"{milk,vegetables,water} => {pastry}",0.2,0.8,0.25,1.27,20
"{milk,pastry,vegetables} => {water}",0.2,0.8,0.25,1.36,20
"{milk,vegetables,water} => {tropical fruit}",0.21,0.84,0.25,1.24,21
"{milk,tropical fruit,water} => {pastry}",0.22,0.81,0.27,1.29,22
"{milk,pastry,tropical fruit} => {water}",0.22,0.85,0.26,1.43,22
"{milk,pastry,vegetables} => {tropical fruit}",0.2,0.8,0.25,1.18,20
"{bread,tropical fruit,vegetables} => {pastry}",0.2,0.8,0.25,1.27,20
"{soda,vegetables,water} => {tropical fruit}",0.22,0.85,0.26,1.24,22
"{pastry,soda,water} => {tropical fruit}",0.21,0.81,0.26,1.19,21
"{pastry,soda,tropical fruit} => {water}",0.21,0.81,0.26,1.37,21
"{pastry,soda,vegetables} => {tropical fruit}",0.2,0.87,0.23,1.28,20
"{sausage,tropical fruit,water} => {pastry}",0.2,0.83,0.24,1.32,20
"{sausage,tropical fruit,vegetables} => {pastry}",0.2,0.8,0.25,1.27,20
