"","Price"
"2018-03-09",300411
"2018-03-12",296725
"2018-03-13",286589
"2018-03-14",282442
"2018-03-15",297185
"2018-03-16",298568
"2018-03-19",293960
"2018-03-20",297185
"2018-03-21",287049
"2018-03-22",286128
"2018-03-23",276452
"2018-03-26",276452
"2018-03-27",273687
"2018-03-28",266776
"2018-03-29",292117
"2018-03-30",285206
"2018-04-02",280138
"2018-04-03",275530
"2018-04-04",270923
"2018-04-05",271845
"2018-04-06",269079
"2018-04-09",281981
"2018-04-10",279216
"2018-04-11",274609
"2018-04-12",275070
"2018-04-13",267236
"2018-04-16",272305
"2018-04-17",267236
"2018-04-18",262169
"2018-04-19",245582
"2018-04-20",247886
"2018-04-23",230837
"2018-04-24",228994
"2018-04-25",231297
"2018-04-26",236827
"2018-04-27",254796
"2018-04-30",249729
"2018-05-02",238669
"2018-05-03",241435
"2018-05-04",230376
"2018-05-08",217476
"2018-05-09",238669
"2018-05-10",238669
"2018-05-11",239592
"2018-05-14",234984
"2018-05-15",246963
"2018-05-16",247424
"2018-05-17",246503
"2018-05-18",248807
"2018-05-21",248807
"2018-05-23",237288
"2018-05-24",243739
"2018-05-25",253413
"2018-05-28",249729
"2018-05-29",249267
"2018-05-30",248346
"2018-05-31",244660
"2018-06-01",252032
"2018-06-04",245582
"2018-06-05",246042
"2018-06-07",249729
"2018-06-08",248346
"2018-06-11",246503
"2018-06-12",251571
"2018-06-14",258022
"2018-06-15",275070
"2018-06-18",281059
"2018-06-19",264932
"2018-06-20",273687
"2018-06-21",269079
"2018-06-22",272305
"2018-06-25",272766
"2018-06-26",277373
"2018-06-27",278294
"2018-06-28",274609
"2018-06-29",279676
"2018-07-02",279676
"2018-07-03",279216
"2018-07-04",268619
"2018-07-05",259865
"2018-07-06",266776
"2018-07-09",261708
"2018-07-10",258943
"2018-07-11",254796
"2018-07-12",265393
"2018-07-13",265393
"2018-07-16",270462
"2018-07-17",272305
"2018-07-18",267236
"2018-07-19",265854
"2018-07-20",263090
"2018-07-23",246503
"2018-07-24",244199
"2018-07-25",231297
"2018-07-26",234523
"2018-07-27",236367
"2018-07-30",237748
"2018-07-31",250189
"2018-08-01",258482
"2018-08-02",259404
"2018-08-03",258482
"2018-08-06",252492
"2018-08-07",252953
"2018-08-08",254335
"2018-08-09",254335
"2018-08-10",250650
"2018-08-13",240052
"2018-08-14",240513
"2018-08-16",238209
"2018-08-17",242356
"2018-08-20",240513
"2018-08-21",247424
"2018-08-22",247424
"2018-08-23",252492
"2018-08-24",257560
"2018-08-27",256179
"2018-08-28",247886
"2018-08-29",248346
"2018-08-30",245582
"2018-08-31",248807
"2018-09-03",246042
"2018-09-04",258022
"2018-09-05",252953
"2018-09-06",255718
"2018-09-07",257560
"2018-09-10",252492
"2018-09-11",252953
"2018-09-12",262629
"2018-09-13",270462
"2018-09-14",268158
"2018-09-17",278755
"2018-09-18",276913
"2018-09-19",281981
"2018-09-20",273226
"2018-09-21",278755
"2018-09-27",277373
"2018-09-28",273687
"2018-10-01",269079
"2018-10-02",265854
"2018-10-04",267698
"2018-10-05",266315
"2018-10-08",267236
"2018-10-10",264012
"2018-10-11",250189
"2018-10-12",252953
"2018-10-15",240973
"2018-10-16",241435
"2018-10-17",244660
"2018-10-18",240052
"2018-10-19",251571
"2018-10-22",247424
"2018-10-23",227150
"2018-10-24",207800
"2018-10-25",217936
"2018-10-26",210104
"2018-10-29",200888
"2018-10-30",207800
"2018-10-31",200427
"2018-11-01",209643
"2018-11-02",217936
"2018-11-05",221161
"2018-11-06",222083
"2018-11-07",215172
"2018-11-08",219780
"2018-11-09",211485
"2018-11-12",186144
"2018-11-13",184761
"2018-11-14",191673
"2018-11-15",201349
"2018-11-16",206417
"2018-11-19",211024
"2018-11-20",209643
"2018-11-21",207339
"2018-11-22",205496
"2018-11-23",203653
"2018-11-26",221623
"2018-11-27",219319
"2018-11-28",217476
"2018-11-29",218397
"2018-11-30",220701
"2018-12-03",221623
"2018-12-04",224386
"2018-12-05",223004
"2018-12-06",217014
"2018-12-07",226229
"2018-12-10",225308
"2018-12-11",202731
"2018-12-12",208721
"2018-12-13",200427
"2018-12-14",191673
"2018-12-17",197663
"2018-12-18",201349
"2018-12-19",207800
"2018-12-20",206417
"2018-12-21",202731
"2018-12-24",193977
"2018-12-26",210104
"2018-12-27",209165
"2018-12-28",208697
"2019-01-02",201193
"2019-01-03",197441
"2019-01-04",206352
"2019-01-07",202599
"2019-01-08",200254
"2019-01-09",200724
"2019-01-10",203069
"2019-01-11",203069
"2019-01-14",197910
"2019-01-15",194627
"2019-01-16",189468
"2019-01-17",183372
"2019-01-18",188530
"2019-01-21",185717
"2019-01-22",187592
"2019-01-23",187592
"2019-01-24",195096
"2019-01-25",195565
"2019-01-28",197910
"2019-01-29",197441
"2019-01-30",201661
"2019-01-31",205414
"2019-02-01",201193
"2019-02-07",200724
"2019-02-08",201661
"2019-02-11",202131
"2019-02-12",199316
"2019-02-13",198848
"2019-02-14",196971
"2019-02-15",196503
"2019-02-18",198848
"2019-02-19",201661
"2019-02-20",200254
"2019-02-21",194627
"2019-02-22",194158
"2019-02-25",191344
"2019-02-26",191813
"2019-02-27",189937
"2019-02-28",191813
"2019-03-04",194627
"2019-03-05",196971
"2019-03-06",197910
"2019-03-07",194158
"2019-03-08",193220
"2019-03-11",192282
"2019-03-12",196034
"2019-03-13",194627
"2019-03-14",193220
"2019-03-15",190406
"2019-03-18",188530
"2019-03-19",190406
"2019-03-20",188530
"2019-03-21",188062
"2019-03-22",187123
"2019-03-25",185717
"2019-03-26",180557
"2019-03-27",171647
"2019-03-28",169302
"2019-03-29",169771
"2019-04-01",170709
"2019-04-02",178213
"2019-04-03",181496
"2019-04-04",180557
"2019-04-05",180089
"2019-04-08",183372
"2019-04-09",191813
"2019-04-10",192751
"2019-04-11",197441
"2019-04-12",196034
"2019-04-15",190875
"2019-04-16",195096
"2019-04-17",195565
"2019-04-18",190875
"2019-04-19",204476
"2019-04-22",206820
"2019-04-23",207759
"2019-04-24",204476
"2019-04-25",198379
"2019-04-26",198848
"2019-04-29",202599
"2019-04-30",198848
"2019-05-02",194158
"2019-05-03",191813
"2019-05-07",192751
"2019-05-08",192751
"2019-05-09",196971
"2019-05-10",188999
"2019-05-13",182434
"2019-05-14",183372
"2019-05-15",183840
"2019-05-16",184309
"2019-05-17",183372
"2019-05-20",176336
"2019-05-21",169771
"2019-05-22",173054
"2019-05-23",169302
"2019-05-24",169771
"2019-05-27",163205
"2019-05-28",174461
"2019-05-29",173991
"2019-05-30",174461
"2019-05-31",178213
"2019-06-03",181026
"2019-06-04",183372
"2019-06-05",183840
"2019-06-07",184309
"2019-06-10",186185
"2019-06-11",189468
"2019-06-12",191344
"2019-06-13",194158
"2019-06-14",188530
"2019-06-17",192282
"2019-06-18",195096
"2019-06-19",198379
"2019-06-20",200724
"2019-06-21",199316
"2019-06-24",195565
"2019-06-25",195096
"2019-06-26",197441
"2019-06-27",191344
"2019-06-28",192751
"2019-07-01",195096
"2019-07-02",192282
"2019-07-03",193220
"2019-07-04",190875
"2019-07-05",195096
"2019-07-08",193220
"2019-07-09",180557
"2019-07-10",177274
"2019-07-11",179619
"2019-07-12",176806
"2019-07-15",172116
"2019-07-16",176806
"2019-07-17",173054
"2019-07-18",169302
"2019-07-19",173054
"2019-07-22",173054
"2019-07-23",170709
"2019-07-24",168833
"2019-07-25",166957
"2019-07-26",173523
"2019-07-29",167895
"2019-07-30",166019
"2019-07-31",159922
"2019-08-01",159922
"2019-08-02",153356
"2019-08-05",136474
"2019-08-06",137412
"2019-08-07",139287
"2019-08-08",144446
"2019-08-09",145853
"2019-08-12",145383
"2019-08-13",143508
"2019-08-14",143977
"2019-08-16",144446
"2019-08-19",143508
"2019-08-20",145383
"2019-08-21",146791
"2019-08-22",143039
"2019-08-23",142101
"2019-08-26",132721
"2019-08-27",136004
"2019-08-28",146322
"2019-08-29",147260
"2019-08-30",147260
"2019-09-02",146791
"2019-09-03",150543
"2019-09-04",157109
"2019-09-05",153826
"2019-09-06",155233
"2019-09-09",155701
"2019-09-10",154764
"2019-09-11",158516
"2019-09-16",159922
"2019-09-17",160392
"2019-09-18",162737
"2019-09-19",158046
"2019-09-20",164612
"2019-09-23",160392
"2019-09-24",158046
"2019-09-25",156171
"2019-09-26",156639
"2019-09-27",155701
"2019-09-30",153826
"2019-10-01",162737
"2019-10-02",161799
"2019-10-04",162267
"2019-10-07",167426
"2019-10-08",169302
"2019-10-10",169771
"2019-10-11",170240
"2019-10-14",171178
"2019-10-15",172116
"2019-10-16",175399
"2019-10-17",176336
"2019-10-18",170240
"2019-10-21",170709
"2019-10-22",179619
"2019-10-23",184309
"2019-10-24",184779
"2019-10-25",184779
"2019-10-28",188530
"2019-10-29",192751
"2019-10-30",191344
"2019-10-31",187592
"2019-11-01",186654
