"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","009240","한샘",101000,-500,-0.49,"KOSPI","유통업",2376926728000,2423,41.68,25215,4.01,1200,1.19
"2","215600","신라젠",12100,0,0,"KOSDAQ","기타서비스",866567212500,NA,NA,858,14.1,0,0
"3","003620","쌍용차",2770,0,0,"KOSPI","운수장비",415056805540,NA,NA,2690,1.03,0,0
"4","066980","이엔코퍼레이션",1380,0,0,"KOSDAQ","디지털컨텐츠",247845510480,5,276,620,2.23,0,0
"5","049180","셀루메드",5980,0,0,"KOSDAQ","제약",236167577880,NA,NA,213,28.08,0,0
"6","180400","캔서롭",7740,0,0,"KOSDAQ","기타서비스",178624199880,NA,NA,1066,7.26,0,0
"7","176440","에이치엔티",1920,0,0,"KOSDAQ","IT부품",164619542400,NA,NA,695,2.76,0,0
"8","138360","에이씨티",4480,0,0,"KOSDAQ","화학",155061688320,NA,NA,1588,2.82,0,0
"9","054220","비츠로시스",5930,0,0,"KOSDAQ","일반전기전자",127850669540,NA,NA,NA,NA,0,0
"10","069540","라이트론",5420,0,0,"KOSDAQ","통신장비",125605134180,276,19.64,2648,2.05,0,0
"11","065150","MP그룹",895,0,0,"KOSDAQ","유통",111370196730,11,81.36,252,3.55,0,0
"12","056730","포스링크",1550,0,0,"KOSDAQ","유통",109591063600,NA,NA,193,8.03,0,0
"13","032790","엠젠플러스",4075,0,0,"KOSDAQ","정보기기",89497452375,NA,NA,1319,3.09,0,0
"14","079190","EMW",2780,0,0,"KOSDAQ","통신장비",88360067660,120,23.17,971,2.86,0,0
"15","006580","대양제지",3260,0,0,"KOSDAQ","종이·목재",8.7531e+10,1070,3.05,5010,0.65,40,1.23
"16","196450","코아시아옵틱스",411,0,0,"KOSDAQ","의료·정밀기기",84733046841,46,8.93,556,0.74,0,0
"17","016670","포비스티앤씨",973,0,0,"KOSDAQ","유통",84222290362,NA,NA,1135,0.86,0,0
"18","102210","에이치디",1100,0,0,"KOSDAQ","운송장비·부품",81066045500,NA,NA,1517,0.73,0,0
"19","021820","세원정공",8090,0,0,"KOSPI","운수장비",8.09e+10,760,10.64,41536,0.19,25,0.31
"20","008800","행남사",1770,0,0,"KOSDAQ","음식료·담배",80762168880,NA,NA,671,2.64,0,0
"21","065620","제낙스",15950,0,0,"KOSDAQ","금속",78982709300,NA,NA,330,48.33,0,0
