"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2410,10,0.42,NA,NA,745,3.23,0,0
"2","095570","AJ네트웍스",4070,70,1.75,982,4.14,6802,0.6,300,7.37
"3","006840","AK홀딩스",29650,950,3.31,2168,13.68,62448,0.47,750,2.53
"4","054620","APS홀딩스",7700,-10,-0.13,NA,NA,10530,0.73,0,0
"5","265520","AP시스템",28900,-100,-0.34,671,43.07,7468,3.87,50,0.17
"6","211270","AP위성",18900,950,5.29,51,370.59,5479,3.45,70,0.37
"7","027410","BGF",6540,10,0.15,281,23.27,15699,0.42,110,1.68
"8","282330","BGF리테일",174500,2000,1.16,8763,19.91,36022,4.84,2700,1.55
"9","138930","BNK금융지주",6630,210,3.27,1647,4.03,25415,0.26,360,5.43
"10","001460","BYC",359000,-1000,-0.28,33265,10.79,517079,0.69,1100,0.31
"11","001465","BYC우",159000,-500,-0.31,NA,NA,NA,NA,1150,0.72
"12","001040","CJ",94700,-1600,-1.66,8240,11.49,126448,0.75,1850,1.95
"13","079160","CJ CGV",29100,500,1.75,NA,NA,11590,2.51,0,0
"14","035760","CJ ENM",142300,0,0,5310,26.8,134364,1.06,1400,0.98
"15","00104K","CJ4우(전환)",72800,-500,-0.68,NA,NA,NA,NA,1900,2.61
"16","000120","CJ대한통운",172000,1500,0.88,1349,127.5,131146,1.31,0,0
"17","011150","CJ씨푸드",4600,130,2.91,51,90.2,1781,2.58,0,0
"18","011155","CJ씨푸드1우",36850,2100,6.04,NA,NA,NA,NA,0,0
"19","001045","CJ우",55500,500,0.91,NA,NA,NA,NA,1900,3.42
"20","097950","CJ제일제당",421000,13500,3.31,9516,44.24,297949,1.41,3500,0.83
"21","097955","CJ제일제당 우",189500,5500,2.99,NA,NA,NA,NA,3550,1.87
"22","051500","CJ프레시웨이",24300,1550,6.81,434,55.99,16967,1.43,250,1.03
"23","058820","CMG제약",4355,-45,-1.02,25,174.2,1297,3.36,0,0
"24","023460","CNH",2445,-10,-0.41,424,5.77,2811,0.87,30,1.23
"25","056000","COWON",2860,0,0,NA,NA,1229,2.33,0,0
"26","065770","CS",2595,25,0.97,NA,NA,1155,2.25,0,0
"27","083660","CSA 코스믹",2955,40,1.37,NA,NA,836,3.53,0,0
"28","000590","CS홀딩스",59600,500,0.85,8435,7.07,195584,0.3,500,0.84
"29","012030","DB",868,2,0.23,23,37.74,1049,0.83,0,0
"30","367340","DB금융스팩8호",2075,-5,-0.24,NA,NA,NA,NA,0,0
"31","016610","DB금융투자",5770,30,0.52,1172,4.92,16484,0.35,250,4.33
"32","005830","DB손해보험",44550,1500,3.48,5966,7.47,84026,0.53,1500,3.37
"33","000990","DB하이텍",52400,0,0,2410,21.74,14483,3.62,350,0.67
"34","000995","DB하이텍1우",104000,0,0,NA,NA,NA,NA,400,0.38
"35","139130","DGB금융지주",8310,440,5.59,1900,4.37,27296,0.3,410,4.93
"36","001530","DI동일",160500,-500,-0.31,6765,23.73,195965,0.82,1500,0.93
"37","000210","DL",78300,500,0.64,17223,4.55,153815,0.51,1300,1.66
"38","000215","DL우",40300,550,1.38,NA,NA,NA,NA,1350,3.35
"39","375500","DL이앤씨",121000,2500,2.11,NA,NA,NA,NA,0,0
"40","37550K","DL이앤씨우",73800,3000,4.24,NA,NA,NA,NA,0,0
"41","068790","DMS",8270,-40,-0.48,768,10.77,7205,1.15,75,0.91
"42","004840","DRB동일",6700,30,0.45,461,14.53,17771,0.38,100,1.49
"43","241520","DSC인베스트먼트",6100,600,10.91,233,26.18,1343,4.54,0,0
"44","155660","DSR",5320,-10,-0.19,546,9.74,9613,0.55,50,0.94
"45","069730","DSR제강",5200,-60,-1.14,469,11.09,9851,0.53,40,0.77
