"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",3980,30,0.76,186352734100
"2","006840","AK홀딩스","KOSPI","기타금융",31100,-50,-0.16,411999147100
"3","027410","BGF","KOSPI","기타금융",5900,110,1.9,564729066900
"4","282330","BGF리테일","KOSPI","유통업",168000,2000,1.2,2903696208000
"5","138930","BNK금융지주","KOSPI","기타금융",6260,-130,-2.03,2040354639960
"6","001460","BYC","KOSPI","섬유의복",363000,-1500,-0.41,226735245000
"7","001465","BYC우","KOSPI","섬유의복",160000,0,0,34461600000
"8","001040","CJ","KOSPI","기타금융",91500,-900,-0.97,2669695317000
"9","079160","CJ CGV","KOSPI","서비스업",28000,-250,-0.88,9.828e+11
"10","00104K","CJ4우(전환)","KOSPI","기타금융",71200,-600,-0.84,300927654400
"11","000120","CJ대한통운","KOSPI","운수창고업",167000,-3500,-2.05,3809661448000
"12","011150","CJ씨푸드","KOSPI","음식료품",4360,45,1.04,156658170280
"13","011155","CJ씨푸드1우","KOSPI","음식료품",32900,-350,-1.05,6.58e+09
"14","001045","CJ우","KOSPI","기타금융",53400,-900,-1.66,120695908200
"15","097950","CJ제일제당","KOSPI","음식료품",410000,-5000,-1.2,6172216260000
"16","097955","CJ제일제당 우","KOSPI","음식료품",183000,-3000,-1.61,242920239000
"17","000590","CS홀딩스","KOSPI","기타금융",58700,300,0.51,67768093400
"18","012030","DB","KOSPI","서비스업",871,-14,-1.58,175222495643
"19","016610","DB금융투자","KOSPI","증권",5800,-50,-0.85,246189056200
"20","005830","DB손해보험","KOSPI","보험",43500,1100,2.59,3.0798e+12
"21","000990","DB하이텍","KOSPI","전기전자",53600,-300,-0.56,2379764316800
"22","000995","DB하이텍1우","KOSPI","전기전자",95300,-1600,-1.65,10703714800
"23","139130","DGB금융지주","KOSPI","기타금융",7520,-60,-0.79,1271976664160
"24","001530","DI동일","KOSPI","유통업",147000,-10000,-6.37,362444523000
"25","000210","DL","KOSPI","건설업",78300,-2000,-2.49,1209050814600
"26","000215","DL우","KOSPI","건설업",39600,-750,-1.86,66770154000
"27","375500","DL이앤씨","KOSPI","건설업",109500,-2000,-1.79,2119781811000
"28","37550K","DL이앤씨우","KOSPI","건설업",68200,-600,-0.87,144166957000
"29","004840","DRB동일","KOSPI","기타금융",7030,30,0.43,140107900000
"30","155660","DSR","KOSPI","철강금속",5380,-40,-0.74,8.608e+10
"31","069730","DSR제강","KOSPI","철강금속",5460,120,2.25,7.8624e+10
"32","017940","E1","KOSPI","유통업",40750,450,1.12,2.79545e+11
"33","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",5840,0,0,836632560000
"34","007700","F&F","KOSPI","섬유의복",138000,-1500,-1.08,2.1252e+12
"35","114090","GKL","KOSPI","서비스업",17250,200,1.17,1067010307500
"36","078930","GS","KOSPI","기타금융",38550,-300,-0.77,3581887821900
"37","006360","GS건설","KOSPI","건설업",36000,-450,-1.23,3070371420000
"38","001250","GS글로벌","KOSPI","유통업",2275,0,0,187764313100
"39","007070","GS리테일","KOSPI","유통업",37350,-100,-0.27,2.87595e+12
"40","078935","GS우","KOSPI","기타금융",31150,-50,-0.16,55597329900
"41","012630","HDC","KOSPI","기타금융",10850,-100,-0.91,648197672850
"42","039570","HDC아이콘트롤스","KOSPI","건설업",9920,320,3.33,163283200000
"43","089470","HDC현대EP","KOSPI","화학",6110,-80,-1.29,1.94909e+11
"44","294870","HDC현대산업개발","KOSPI","건설업",25800,-600,-2.27,1700409114000
"45","011200","HMM","KOSPI","운수창고업",21950,1650,8.13,7200943120500
"46","082740","HSD엔진","KOSPI","기계",7120,140,2.01,234583651040
"47","003560","IHQ","KOSPI","서비스업",1970,75,3.96,288084423560
"48","175330","JB금융지주","KOSPI","기타금융",6020,-40,-0.66,1185837021880
"49","234080","JW생명과학","KOSPI","의약품",20400,0,0,323024901600
"50","001060","JW중외제약","KOSPI","의약품",29200,-300,-1.02,628965839200
"51","001067","JW중외제약2우B","KOSPI","의약품",58000,500,0.87,5395624000
"52","001065","JW중외제약우","KOSPI","의약품",28750,50,0.17,5102722500
"53","096760","JW홀딩스","KOSPI","기타금융",4950,30,0.61,338783850900
"54","105560","KB금융","KOSPI","기타금융",47000,1200,2.62,19542972240000
"55","002380","KCC","KOSPI","화학",201000,-2000,-0.99,1786180671000
"56","009070","KCTC","KOSPI","운수창고업",9360,860,10.12,2.808e+11
"57","009440","KC그린홀딩스","KOSPI","기타금융",4245,-65,-1.51,95236490100
"58","119650","KC코트렐","KOSPI","기계",7970,-230,-2.8,1.0361e+11
"59","092220","KEC","KOSPI","전기전자",2370,-70,-2.87,276595447800
"60","016380","KG동부제철","KOSPI","철강금속",12300,0,0,1230109433100
"61","016385","KG동부제철우","KOSPI","철강금속",99300,-100,-0.1,5301130500
"62","001390","KG케미칼","KOSPI","화학",25850,-600,-2.27,358438581600
"63","001940","KISCO홀딩스","KOSPI","철강금속",14900,100,0.68,275298062000
"64","025000","KPX케미칼","KOSPI","화학",61000,-800,-1.29,2.9524e+11
"65","092230","KPX홀딩스","KOSPI","화학",55900,-500,-0.89,236157711400
"66","000040","KR모터스","KOSPI","운수장비",1325,25,1.92,127382012600
"67","044450","KSS해운","KOSPI","운수창고업",11150,450,4.21,258522562000
"68","030200","KT","KOSPI","통신업",26000,-300,-1.14,6788907008000
"69","033780","KT&G","KOSPI","기타제조업",79700,300,0.38,10942212010900
"70","030210","KTB투자증권","KOSPI","증권",4275,-95,-2.17,257842743300
"71","058850","KTcs","KOSPI","서비스업",3005,70,2.39,128268425000
"72","058860","KTis","KOSPI","서비스업",2815,35,1.26,97967630000
"73","093050","LF","KOSPI","섬유의복",15950,-150,-0.93,4.66378e+11
"74","003550","LG","KOSPI","기타금융",90800,-1200,-1.3,15668187494800
"75","034220","LG디스플레이","KOSPI","전기전자",22500,-200,-0.88,8050853250000
"76","001120","LG상사","KOSPI","유통업",27000,-500,-1.82,1.04652e+12
"77","051900","LG생활건강","KOSPI","화학",1511000,15000,1,23599095667000
"78","051905","LG생활건강우","KOSPI","화학",699000,-6000,-0.85,1467688203000
"79","003555","LG우","KOSPI","기타금융",66000,-100,-0.15,218768682000
"80","032640","LG유플러스","KOSPI","통신업",11700,-150,-1.27,5108352923700
"81","011070","LG이노텍","KOSPI","전기전자",207500,-3500,-1.66,4910924702500
"82","066570","LG전자","KOSPI","전기전자",148500,2500,1.71,24301700379000
"83","066575","LG전자우","KOSPI","전기전자",69600,-700,-1,1196145043200
"84","108670","LG하우시스","KOSPI","화학",72600,-1600,-2.16,651052842000
"85","108675","LG하우시스우","KOSPI","화학",33800,-500,-1.46,34892754000
"86","037560","LG헬로비전","KOSPI","서비스업",4570,-50,-1.08,353932173050
"87","051910","LG화학","KOSPI","화학",904000,39000,4.51,63815478072000
"88","051915","LG화학우","KOSPI","화학",411000,11000,2.75,3160096800000
"89","079550","LIG넥스원","KOSPI","기계",36900,-650,-1.73,8.118e+11
"90","006260","LS","KOSPI","기타금융",66300,-1800,-2.64,2.13486e+12
"91","010120","LS ELECTRIC","KOSPI","전기전자",55100,-1100,-1.96,1.653e+12
"92","000680","LS네트웍스","KOSPI","유통업",2715,-5,-0.18,213950188440
"93","229640","LS전선아시아","KOSPI","기타금융",7400,110,1.51,226624104600
"94","023150","MH에탄올","KOSPI","음식료품",8400,500,6.33,61979618400
"95","035420","NAVER","KOSPI","서비스업",377500,-14000,-3.58,62009431612500
"96","181710","NHN","KOSPI","서비스업",68400,-600,-0.87,1338247710000
"97","005940","NH투자증권","KOSPI","증권",11050,-200,-1.78,3109568201350
"98","005945","NH투자증권우","KOSPI","증권",8530,-30,-0.35,160969357040
"99","338100","NH프라임리츠","KOSPI","서비스업",4215,5,0.12,78651900000
"100","034310","NICE","KOSPI","서비스업",17450,0,0,661046135000
"101","008260","NI스틸","KOSPI","철강금속",3575,85,2.44,102245418275
"102","004250","NPC","KOSPI","화학",4165,-115,-2.69,152938800000
"103","004255","NPC우","KOSPI","화학",2475,15,0.61,1.3068e+10
"104","010060","OCI","KOSPI","화학",137500,10500,8.27,3279288512500
"105","005490","POSCO","KOSPI","철강금속",314500,5500,1.78,27420259607500
"106","100840","S&TC","KOSPI","기계",16100,-100,-0.62,120858047100
"107","064960","S&T모티브","KOSPI","운수장비",63100,-1300,-2.02,922719881600
"108","003570","S&T중공업","KOSPI","운수장비",7480,-20,-0.27,248730173560
"109","036530","S&T홀딩스","KOSPI","기타금융",18150,50,0.28,295915530900
"110","010950","S-Oil","KOSPI","화학",86800,200,0.23,9772186345600
"111","010955","S-Oil우","KOSPI","화학",47550,450,0.96,191242628850
"112","034120","SBS","KOSPI","서비스업",23150,200,0.87,422547273300
"113","101060","SBS미디어홀딩스","KOSPI","서비스업",1970,45,2.34,275595494300
"114","005090","SGC에너지","KOSPI","전기가스업",38900,750,1.97,570935455600
"115","004060","SG세계물산","KOSPI","유통업",699,-11,-1.55,141495047040
"116","001380","SG충방","KOSPI","운수장비",2550,10,0.39,114658564650
"117","002360","SH에너지화학","KOSPI","화학",946,2,0.21,105132508580
"118","009160","SIMPAC","KOSPI","기계",3355,-25,-0.74,219516026180
"119","123700","SJM","KOSPI","운수장비",4085,0,0,63746008330
"120","025530","SJM홀딩스","KOSPI","유통업",3535,10,0.28,52791718280
"121","034730","SK","KOSPI","기타금융",265500,-7500,-2.75,18680658853500
"122","011790","SKC","KOSPI","화학",114000,-4000,-3.39,4316985972000
"123","018670","SK가스","KOSPI","유통업",95500,300,0.32,881488302000
"124","001740","SK네트웍스","KOSPI","유통업",5360,-140,-2.55,1330285787920
"125","001745","SK네트웍스우","KOSPI","유통업",105000,-1500,-1.41,11933040000
"126","006120","SK디스커버리","KOSPI","기타금융",59800,-500,-0.83,1138463729000
"127","006125","SK디스커버리우","KOSPI","기타금융",49900,400,0.81,67786904500
"128","210980","SK디앤디","KOSPI","서비스업",36400,-300,-0.82,691241969600
"129","068400","SK렌터카","KOSPI","서비스업",10950,-300,-2.67,517779948000
"130","326030","SK바이오팜","KOSPI","서비스업",109500,-1000,-0.9,8575300875000
"131","03473K","SK우","KOSPI","기타금융",241000,-6500,-2.63,136438535000
"132","096770","SK이노베이션","KOSPI","화학",252000,-12000,-4.55,23301322128000
"133","096775","SK이노베이션우","KOSPI","화학",184000,-7000,-3.66,229710384000
"134","001510","SK증권","KOSPI","증권",852,-4,-0.47,402646825692
"135","001515","SK증권우","KOSPI","증권",4540,-65,-1.41,17762813560
"136","285130","SK케미칼","KOSPI","화학",315000,-500,-0.16,3698539740000
"137","28513K","SK케미칼우","KOSPI","화학",160000,4000,2.56,233387200000
"138","017670","SK텔레콤","KOSPI","통신업",244000,-2500,-1.01,19701953484000
"139","000660","SK하이닉스","KOSPI","전기전자",140000,-2000,-1.41,101920331100000
"140","005610","SPC삼립","KOSPI","음식료품",71600,-600,-0.83,617837044400
"141","011810","STX","KOSPI","유통업",5560,170,3.15,109681575120
"142","077970","STX엔진","KOSPI","기계",6640,-50,-0.75,152779122560
"143","071970","STX중공업","KOSPI","기계",3290,35,1.08,93324061040
"144","084870","TBH글로벌","KOSPI","섬유의복",1680,0,0,35039455920
"145","002710","TCC스틸","KOSPI","철강금속",4210,-150,-3.44,9.683e+10
"146","024070","WISCOM","KOSPI","화학",3495,-110,-3.05,53565900810
"147","037270","YG PLUS","KOSPI","서비스업",6410,180,2.89,406074141000
"148","000500","가온전선","KOSPI","전기전자",20400,-300,-1.45,84871078800
"149","000860","강남제비스코","KOSPI","화학",25300,1050,4.33,1.6445e+11
"150","035250","강원랜드","KOSPI","서비스업",26200,100,0.38,5605241100000
"151","011420","갤럭시아에스엠","KOSPI","서비스업",1540,5,0.33,42426451760
"152","002100","경농","KOSPI","화학",13700,350,2.62,297176975000
"153","009450","경동나비엔","KOSPI","전기전자",49700,-500,-1,676155081000
"154","267290","경동도시가스","KOSPI","전기가스업",19000,50,0.26,112012714000
"155","012320","경동인베스트","KOSPI","기타금융",33800,-300,-0.88,79937777400
"156","000050","경방","KOSPI","유통업",12750,100,0.79,349544692500
"157","214390","경보제약","KOSPI","의약품",12600,-150,-1.18,301226436000
"158","012610","경인양행","KOSPI","화학",6690,-90,-1.33,276339581850
"159","009140","경인전자","KOSPI","전기전자",30250,550,1.85,47516609250
"160","013580","계룡건설","KOSPI","건설업",27650,-200,-0.72,246939578550
"161","012200","계양전기","KOSPI","기계",4530,-40,-0.88,1.47678e+11
"162","012205","계양전기우","KOSPI","기계",6940,-10,-0.14,9.716e+09
"163","002140","고려산업","KOSPI","음식료품",3925,-65,-1.63,97887243125
"164","010130","고려아연","KOSPI","철강금속",407000,-1000,-0.25,7.68009e+12
"165","002240","고려제강","KOSPI","철강금속",16350,-150,-0.91,3.7605e+11
